DATA  X_AXIS 1H           1  2135   10.999ppm    5.500ppm
DATA  Y_AXIS 15N          1  1090  135.094ppm  105.207ppm
VARS   INDEX X_AXIS Y_AXIS X_PPM Y_PPM XW YW  X1 X3 Y1 Y3 HEIGHT ASS CONFIDENCE POINTER
FORMAT %5d %9.3f %9.3f %10.6f %10.6f %7.3f %7.3f %4d %4d %4d %4d %+e %s %4.2f %3s
   77   229.155    94.011   9.214376 124.192932   4.328   1.950  225  231   90   96 +5.858301e+06 peak 0.98 <--
   78   360.707    87.669   8.185217 124.936202   4.720   2.275  356  362   83   89 +5.825780e+06 peak 0.95 <--
   79   290.480   100.117   8.734617 123.477191   4.691   2.336  286  292   96  102 +5.779829e+06 peak 0.97 <--
   80   305.646    46.566   8.615967 129.753689   4.386   2.213  301  307   42   48 +5.760462e+06 peak 0.95 <--
   81   319.824    97.064   8.505056 123.835062   4.816   2.345  315  321   93   99 +5.743159e+06 peak 0.97 <--
   82   177.721   121.961   9.616754 120.917041   4.935   2.054  173  179  117  123 +5.680245e+06 peak 0.98 <--
   83   237.727    88.608   9.147313 124.826088   3.976   2.756  233  239   84   90 +5.503488e+06 peak 0.99 <--
   84   339.606    62.302   8.350295 127.909279   4.677   2.334  335  341   58   64 +5.278277e+06 peak 0.96 <--
   85   344.881   121.256   8.309025 120.999626   4.862   2.275  340  346  117  123 +5.271505e+06 peak 0.97 <--
   86   275.314   148.032   8.853267 117.861377   4.795   2.221  271  277  144  150 +5.065475e+06 peak 0.93 <--
   87   295.096   148.736   8.698507 117.778792   4.530   2.317  291  297  144  150 +4.947432e+06 peak 0.95 <--
   88   273.006    74.986   8.871323 126.422741   5.098   2.204  269  275   70   76 +4.851866e+06 peak 0.94 <--
   89   308.614   197.590   8.592753 112.052864   4.147   2.191  304  310  193  199 +4.841993e+06 peak 0.95 <--
   90    21.771    20.964  10.836785 132.754295   3.850   1.987   17   23   16   22 +4.834829e+06 peak 0.97 <--
   91   537.758   195.711   6.800108 112.273092   4.326   3.058  533  539  191  197 +4.815618e+06 peak 0.72 <--
   92   296.415   215.206   8.688189 109.988227   4.243   2.453  292  298  211  217 +4.802423e+06 peak 0.99 <--
   93   252.234   111.861   9.033822 122.100766   4.297   2.118  248  254  107  113 +4.621551e+06 peak 0.95 <--
   94   423.680    72.167   7.692562 126.753083   4.078   2.271  419  425   68   74 +4.471341e+06 peak 0.94 <--
   95   183.326   140.751   9.572905 118.714761   4.326   2.272  179  185  136  142 +4.371428e+06 peak 0.93 <--
   96   303.009   123.840   8.636602 120.696813   3.817   2.295  299  305  119  125 +4.179925e+06 peak 0.96 <--
   97   260.477   122.665   8.969338 120.834455   4.267   2.632  256  262  118  124 +4.078448e+06 peak 0.99 <--
   98   150.026    58.544   9.833419 128.349735   4.282   2.482  146  152   54   60 +4.054385e+06 peak 0.93 <--
   99   408.844   183.968   7.808632 113.649517   3.733   2.650  404  410  179  185 +3.860412e+06 peak 0.91 <--
  100   289.491    86.495   8.742355 125.073844   5.473   2.210  285  291   82   88 +3.526347e+06 peak 0.98 <--
  101   257.510   164.943   8.992552 115.879325   4.597   2.450  253  259  160  166 +3.406273e+06 peak 0.96 <--
  102   279.600   209.099   8.819736 110.703968   4.938   2.156  275  281  205  211 +3.211272e+06 peak 0.99 <--
  103   307.295    37.406   8.603071 130.827300   5.370   2.285  303  309   33   39 +3.097393e+06 peak 0.95 <--
  104   532.153   202.758   6.843957 111.447237   3.249   4.122  528  534  198  204 +3.071456e+06 peak 0.94 <--
  105   430.934   209.099   7.635816 110.703968   4.262   2.298  426  432  205  211 +2.949725e+06 peak 0.99 <--
  106   369.939   153.904   8.112995 117.173165   6.217   2.630  365  371  149  155 +2.933669e+06 peak 0.73 <--
  107   306.965   176.217   8.605650 114.557957   4.941   2.589  302  308  172  178 +2.785195e+06 peak 0.92 <--
  108   395.985   107.164   7.909227 122.651336   3.714   1.464  391  397  103  109 +2.629423e+06 peak 0.52 <--
  109   205.416   111.156   9.400089 122.183352   3.883   1.236  201  207  107  113 +2.450010e+06 peak 0.78 <--
  110   468.850   134.174   7.339191 119.485559   3.841   1.538  464  470  130  136 +2.441541e+06 peak 0.64 <--
  111   451.705   182.558   7.473317 113.814688   4.678   2.185  447  453  178  184 +2.273890e+06 peak 0.95 <--
  112   416.427   185.377   7.749307 113.484346   4.549   2.359  412  418  181  187 +2.230220e+06 peak 0.88 <--
  113   209.703    90.253   9.366557 124.633388   3.999   1.445  205  211   86   92 +2.185800e+06 peak 0.76 <--
  114   420.054   197.356   7.720934 112.080393   3.097   0.783  416  422  193  199 +2.097437e+06 peak 0.78 <--
  115   434.231   199.939   7.610022 111.777579   2.809   3.431  430  436  195  201 +2.092805e+06 peak 0.94 <--
  116   444.452   205.341   7.530063 111.144424   3.132   2.783  440  446  201  207 +2.058530e+06 peak 0.97 <--
  117   450.386   203.462   7.483634 111.364652   2.735   2.492  446  452  199  205 +2.047565e+06 peak 0.96 <--
  118   374.225    57.370   8.079463 128.487378   2.635   2.548  370  376   53   59 +2.027446e+06 peak 0.97 <--
  119   240.035   151.320   9.129257 117.475978   5.318   4.317  236  242  147  153 +1.976453e+06 peak 0.96 <--
  120   234.430   102.231   9.173106 123.229435   3.801   1.338  230  236   98  104 +1.957699e+06 peak 0.61 <--
  121   673.596   218.964   5.737417 109.547771   2.009   1.760  669  675  214  220 +1.944554e+06 peak 0.97 <--
  122   412.470   197.590   7.780259 112.052864   2.308   2.804  408  414  193  199 +1.846068e+06 peak 0.98 <--
  123   398.953   233.526   7.886012 107.841004   4.066   2.419  394  400  229  235 +1.679021e+06 peak 0.88 <--
  124   242.673   119.142   9.108623 121.247383   4.105   1.256  238  244  115  121 +1.563554e+06 peak 0.71 <--
  125   416.757   182.324   7.746728 113.842216   4.796   2.177  412  418  178  184 +1.546301e+06 peak 0.93 <--
  126   445.771   194.772   7.519745 112.383206   3.957   2.449  441  447  190  196 +1.539083e+06 peak 0.93 <--
  127   530.175   190.309   6.859433 112.906248   4.252   2.560  526  532  186  192 +1.504047e+06 peak 0.86 <--
  128   300.041   206.985   8.659816 110.951724   4.472   2.990  296  302  202  208 +1.460967e+06 peak 0.87 <--
  129   380.489   152.729   8.030456 117.310807   2.075   2.542  376  382  148  154 +1.460005e+06 peak 0.98 <--
  130   437.528   203.462   7.584229 111.364652   2.900   3.126  433  439  199  205 +1.451681e+06 peak 0.97 <--
  131    21.771    22.139  10.836785 132.616653   3.579   1.421   17   23   18   24 +1.386134e+06 peak 0.56 <--
  132   553.254   200.409   6.678878 111.722522   2.152   4.108  549  555  196  202 +1.329157e+06 peak 0.56 <--
  133   238.057   114.210   9.144733 121.825481   6.815   2.578  234  240  110  116 +1.280601e+06 peak 0.93 <--
  134   271.027   121.256   8.886799 120.999626   5.069   2.709  267  273  117  123 +1.273551e+06 peak 0.88 <--
  135   444.781   207.220   7.527483 110.924196   2.462   1.829  440  446  203  209 +1.206107e+06 peak 0.99 <--
  136   177.721   123.135   9.616754 120.779398   4.245   1.178  173  179  119  125 +1.202406e+06 peak 0.67 <--
  137   252.234   113.035   9.033822 121.963124   4.535   1.166  248  254  109  115 +1.141046e+06 peak 0.52 <--
  138   394.996   130.416   7.916965 119.926015   3.185   1.955  390  396  126  132 +1.111520e+06 peak 0.98 <--
  139   340.265   121.491   8.345136 120.972098   3.209   2.343  336  342  117  123 +1.038704e+06 peak 0.89 <--
  140   328.396    91.427   8.437993 124.495746   6.241   2.079  324  330   87   93 +1.038576e+06 peak 0.75 <--
  141   533.802   190.309   6.831060 112.906248   3.656   2.666  529  535  186  192 +1.021943e+06 peak 0.92 <--
  142   455.332   203.697   7.444944 111.337123   3.413   3.522  451  457  199  205 +1.018634e+06 peak 0.72 <--
  143   345.211   115.149   8.306446 121.715367   2.944   2.629  341  347  111  117 +1.017904e+06 peak 0.95 <--
  144   459.948   198.530   7.408833 111.942750   2.438   1.825  455  461  194  200 +9.748773e+05 peak 0.87 <--
  145   323.450   141.925   8.476683 118.577118   4.693   2.864  319  325  137  143 +9.594779e+05 peak 0.78 <--
  146   294.107   100.352   8.706245 123.449663   5.683   2.543  290  296   96  102 +9.551701e+05 peak 0.75 <--
  147   459.618   200.644   7.411413 111.694994   3.249   4.044  455  461  196  202 +9.195042e+05 peak 0.90 <--
  148   378.841    78.509   8.043353 126.009813   3.971   3.087  374  380   74   80 +9.005205e+05 peak 0.83 <--
  149   526.218   193.363   6.890385 112.548377   4.841   2.879  522  528  189  195 +9.001253e+05 peak 0.86 <--
  150   425.988   201.114   7.674506 111.639937   2.783   3.102  421  427  197  203 +8.635762e+05 peak 0.83 <--
  151   536.109   207.220   6.813004 110.924196   2.845   1.833  532  538  203  209 +8.382055e+05 peak 0.99 <--
  152   317.516   227.185   8.523111 108.584273   5.510   1.580  313  319  223  229 +8.334780e+05 peak 0.96 <--
  153   424.670   190.544   7.684823 112.878719   2.221   2.181  420  426  186  192 +8.242403e+05 peak 0.97 <--
  154   388.732    67.235   7.965972 127.331181   2.126   1.641  384  390   63   69 +8.211081e+05 peak 0.99 <--
  155   333.671    97.769   8.396723 123.752476   2.580   2.671  329  335   93   99 +8.146835e+05 peak 0.96 <--
  156   348.838    95.420   8.278073 124.027761   3.926   3.101  344  350   91   97 +8.079345e+05 peak 0.93 <--
  157   371.917    63.242   8.097519 127.799165   2.231   1.736  367  373   59   65 +7.899034e+05 peak 0.98 <--
  158   259.158   153.669   8.979655 117.200693   5.260   2.293  255  261  149  155 +7.646593e+05 peak 0.89 <--
  159   314.548   227.420   8.546325 108.556745   3.685   1.763  310  316  223  229 +7.575047e+05 peak 0.92 <--
  160   451.705   186.786   7.473317 113.319175   2.436   2.730  447  453  182  188 +7.488840e+05 peak 0.95 <--
  161   517.976   187.726   6.954868 113.209061   2.753   3.129  513  519  183  189 +7.415426e+05 peak 0.80 <--
  162   439.176   192.188   7.571332 112.686020   2.284   2.984  435  441  188  194 +7.377278e+05 peak 0.80 <--
  163   355.102   133.470   8.229066 119.568144   3.420   2.706  351  357  129  135 +7.194455e+05 peak 0.99 <--
